Date,ADANIPORTS,AMBUJACEM,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BPCL,BHARTIARTL,INDUSTOWER,BOSCHLTD,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GAIL,HCLTECH,HDFCBANK,HEROMOTOCO,HINDALCO,HINDPETRO,HINDUNILVR,HDFC,ICICIBANK,IBULHSGFIN,ITC,IOC,INDUSINDBK,INFY,KOTAKBANK,LUPIN,LT,M&M,MARUTI,NTPC,ONGC,POWERGRID,RELIANCE,SBIN,SUNPHARMA,TCS,TATAMOTORS,TATASTEEL,TECHM,UPL,ULTRACEMCO,VEDL,WIPRO,YESBANK,ZEEL,^NSEI
2020-02-20,364.2445068359375,188.02313232421875,1821.44384765625,595.6871337890625,744.2999877929688,2835.688232421875,4861.40283203125,394.76654052734375,543.6477661132812,202.74891662597656,14102.6455078125,432.23651123046875,146.11123657226562,3204.928955078125,1858.525390625,114.94374084472656,589.271484375,1211.8551025390625,2209.137451171875,187.68344116210938,181.07864379882812,2193.33154296875,2296.801025390625,545.4030151367188,324.7109680175781,187.5213623046875,94.94364166259766,1176.399169921875,769.634521484375,1685.1131591796875,691.2139282226562,1214.4573974609375,516.7913208007812,6654.92578125,98.34294891357422,92.63047790527344,125.8334732055664,1461.7879638671875,324.6526184082031,399.6246032714844,2102.137451171875,158.5,422.88018798828125,775.860107421875,570.4003295898438,4392.7470703125,117.5268783569336,245.1488494873047,35.45000076293945,252.76441955566406,12080.849609375
2020-02-24,355.79766845703125,192.14242553710938,1798.4068603515625,500.5857849121094,725.4500122070312,2757.060546875,4785.20166015625,388.8251647949219,528.0039672851562,193.5615692138672,13624.4150390625,426.6816711425781,142.44522094726562,3127.1513671875,1769.9112548828125,112.53502655029297,576.7698364257812,1204.73583984375,2153.865966796875,176.91351318359375,176.03057861328125,2161.0400390625,2221.969482421875,528.3031005859375,317.65411376953125,183.49884033203125,93.46410369873047,1164.5078125,768.52392578125,1677.4169921875,664.7845458984375,1194.636962890625,505.3202209472656,6372.08984375,96.88568878173828,88.35037231445312,123.739013671875,1421.4547119140625,319.9956359863281,392.6179504394531,2061.738037109375,150.64999389648438,396.0896911621094,766.9754638671875,559.5653076171875,4359.9111328125,109.97245788574219,243.6522216796875,34.95000076293945,245.18544006347656,11829.400390625
2020-02-25,352.0162658691406,193.69863891601562,1805.47607421875,500.5361328125,728.75,2726.44189453125,4807.11572265625,382.21435546875,533.3347778320312,193.87530517578125,13369.9404296875,422.3667297363281,142.6488800048828,3039.134521484375,1728.7298583984375,109.83726501464844,564.4620361328125,1195.1275634765625,2153.816650390625,172.36839294433594,171.83743286132812,2179.039794921875,2231.95361328125,529.39990234375,311.7494201660156,182.41412353515625,93.37955474853516,1148.1883544921875,770.9864501953125,1674.96826171875,661.12890625,1177.8985595703125,501.1354675292969,6317.087890625,97.23896026611328,87.89983367919922,123.77226257324219,1393.368896484375,323.8103942871094,383.78564453125,2101.50341796875,149.89999389648438,401.6670837402344,768.8458862304688,552.8300170898438,4309.318359375,109.55964660644531,243.5524444580078,35.150001525878906,247.94142150878906,11797.900390625
2020-02-26,352.0162658691406,195.52940368652344,1806.0198974609375,506.545166015625,729.4000244140625,2725.7021484375,4791.2275390625,375.56170654296875,534.0322875976562,196.0712890625,12879.4033203125,418.7957763671875,141.58981323242188,3027.763427734375,1691.7193603515625,104.10453796386719,565.5765380859375,1194.08203125,2112.79443359375,167.87269592285156,170.04620361328125,2181.576171875,2211.452392578125,522.1710815429688,308.6770324707031,179.52154541015625,91.60411071777344,1129.4307861328125,755.8738403320312,1665.6728515625,661.7711181640625,1148.5946044921875,495.2768249511719,6140.11865234375,96.35578155517578,86.32295227050781,123.57278442382812,1369.3656005859375,325.1976318359375,369.77239990234375,2069.778564453125,144.5500030517578,396.9000549316406,758.8858032226562,549.5599975585938,4306.83837890625,107.53688049316406,239.3618621826172,36.54999923706055,247.44927978515625,11678.5
2020-02-27,347.3999938964844,193.69863891601562,1822.976318359375,515.9808349609375,735.8499755859375,2716.45166015625,4741.2236328125,371.5868225097656,529.7477416992188,199.97032165527344,12761.615234375,417.8038330078125,141.83419799804688,3019.592041015625,1681.509033203125,103.43009185791016,555.3523559570312,1194.2811279296875,2080.943115234375,166.34120178222656,166.42298889160156,2199.867919921875,2202.486083984375,513.8453979492188,304.0684814453125,178.57240295410156,89.32141876220703,1110.0762939453125,751.1420288085938,1681.914794921875,654.85498046875,1147.8359375,485.92266845703125,6194.2333984375,96.31161499023438,84.11531829833984,123.97174072265625,1363.709228515625,319.0047912597656,383.39093017578125,2052.137451171875,145.25,393.56317138671875,756.7348022460938,537.7000122070312,4287.146484375,107.7845687866211,231.0804901123047,36.79999923706055,240.5100860595703,11633.2998046875
2020-02-28,336.1048278808594,187.7027587890625,1777.64404296875,502.0756530761719,697.2999877929688,2673.344970703125,4448.42138671875,356.7752685546875,521.6268310546875,192.21710205078125,11753.1650390625,398.85784912109375,137.19058227539062,2881.807373046875,1637.0343017578125,100.58781433105469,517.8475952148438,1172.5750732421875,2023.2554931640625,154.0397491455078,160.84568786621094,2121.627197265625,2108.99560546875,495.79827880859375,268.688232421875,178.57240295410156,89.40596771240234,1098.6326904296875,706.57666015625,1619.5457763671875,632.3283081054688,1126.213623046875,450.0323181152344,6187.6357421875,94.1036605834961,82.85381317138672,120.68045806884766,1307.045654296875,300.2281494140625,367.99603271484375,1949.45751953125,128.9499969482422,363.96014404296875,696.17919921875,507.293701171875,4185.91162109375,94.12057495117188,220.9532470703125,34.599998474121094,235.5394287109375,11201.75
2020-03-02,334.5823974609375,185.13961791992188,1766.6201171875,491.29913330078125,684.2000122070312,2582.876708984375,4343.73095703125,345.05987548828125,516.4952392578125,194.3682861328125,12063.7001953125,398.70904541015625,137.9645233154297,2860.591064453125,1677.56494140625,96.01126098632812,532.7235107421875,1174.5166015625,1948.0150146484375,147.963134765625,158.72877502441406,2106.700927734375,2112.77587890625,504.6224365234375,273.0567626953125,176.53855895996094,87.8841552734375,1073.954345703125,715.6055908203125,1598.2064208984375,622.2506103515625,1100.9400634765625,451.26312255859375,6189.654296875,91.7632064819336,80.28575897216797,122.0102767944336,1294.7490234375,284.7708435058594,364.6407775878906,1950.5784912109375,125.4000015258789,347.0849609375,705.8009033203125,502.07135009765625,4108.63330078125,91.60243225097656,220.30471801757812,31.549999237060547,230.1750946044922,11132.75
2020-03-03,341.11395263671875,193.28668212890625,1787.3670654296875,507.8363342285156,687.1500244140625,2602.256591796875,4446.91455078125,355.64556884765625,518.9365234375,196.60910034179688,12748.533203125,421.8707580566406,145.1743621826172,2996.60302734375,1763.84716796875,99.43163299560547,547.5994262695312,1176.707275390625,2026.3125,157.39918518066406,167.3593292236328,2113.724853515625,2124.16552734375,513.2471923828125,280.8816833496094,175.2278594970703,90.16685485839844,1102.613037109375,721.3512573242188,1625.492919921875,641.813232421875,1120.286376953125,459.0910949707031,6289.02099609375,96.17914581298828,84.11531829833984,127.4625015258789,1321.0147705078125,287.19842529296875,388.3744812011719,1984.593994140625,130.35000610351562,369.4898376464844,713.1475830078125,509.0994873046875,4265.5703125,98.70276641845703,223.1981964111328,31.200000762939453,247.1540069580078,11303.2998046875
2020-03-04,339.78802490234375,190.49473571777344,1834.4197998046875,517.3713989257812,682.2000122070312,2620.86328125,4279.48486328125,350.3736572265625,514.9010009765625,198.13284301757812,13054.0771484375,444.04052734375,145.09291076660156,3122.278076171875,1701.3084716796875,102.17756652832031,545.709716796875,1143.899169921875,2017.9305419921875,158.6836700439453,167.80714416503906,2122.700439453125,2138.365966796875,506.8658752441406,271.6165771484375,169.48785400390625,90.12458038330078,1060.7196044921875,732.6978759765625,1607.15185546875,656.4358520507812,1115.8763427734375,467.36212158203125,6287.34716796875,95.3401107788086,83.6197280883789,131.0197296142578,1317.9161376953125,282.6900329589844,400.1180114746094,2030.4027099609375,126.19999694824219,359.5744934082031,731.1588134765625,499.38702392578125,4139.48486328125,98.53764343261719,228.33665466308594,29.299999237060547,247.7937774658203,11251.0
2020-03-05,342.9309997558594,187.1077423095703,1860.725830078125,523.3306884765625,677.9000244140625,2613.275390625,4323.7138671875,350.1225891113281,525.0147094726562,192.44119262695312,12720.08984375,437.0473937988281,144.31893920898438,3135.17529296875,1752.6953125,102.90018463134766,558.598876953125,1146.388427734375,2035.2366943359375,153.64453125,165.85305786132812,2163.820556640625,2127.703369140625,503.027099609375,274.06488037109375,169.98501586914062,88.60279083251953,1069.7252197265625,728.6903686523438,1650.5303955078125,668.440185546875,1121.3768310546875,471.9407043457031,6269.22705078125,95.25179290771484,83.43951416015625,130.28834533691406,1289.830322265625,285.86077880859375,399.5752258300781,2071.192138671875,125.75,358.23974609375,716.7498168945312,503.73077392578125,4171.97314453125,99.9459228515625,229.1847381591797,36.79999923706055,234.40750122070312,11269.0
2020-03-06,335.3190612792969,187.74853515625,1863.7039794921875,506.8431091308594,657.6500244140625,2643.6259765625,4219.03271484375,337.3193359375,517.2924194335938,182.5815887451172,12577.78515625,430.8973693847656,137.47572326660156,3121.88427734375,1749.5596923828125,103.8636703491211,548.7139282226562,1130.00927734375,2009.9923095703125,148.3089599609375,163.77682495117188,2135.431640625,2044.7296142578125,484.93011474609375,244.3493194580078,164.29022216796875,85.22100067138672,1009.8206176757812,713.5776977539062,1630.240478515625,655.546630859375,1099.0430908203125,463.7681579589844,6348.01123046875,92.86719512939453,79.74510955810547,126.73109436035156,1250.333251953125,268.02545166015625,395.6278381347656,2062.81005859375,114.19999694824219,335.11981201171875,701.866943359375,501.3392639160156,4134.57470703125,94.7822036743164,223.0485382080078,16.149999618530273,217.67465209960938,10989.4501953125
